schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary
BillWF,SC00002,Bill Process,Bill_I,DocumentDate,Per LOB Monthly,TT,1,7,False,"Computes 1 components from Bill_I data source, settling Per LOB Monthly."
AD,SC00002,Bill Process,AD,ForPrdFrom,Per accountcode Monthly,TT,3,10,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions."
IM,SC00002,Bill Process,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes."
VM,SC00002,Bill Process,VM,ForPrdFrom,Per memberid Monthly,TT,1,15,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes."
ProcessedTDSAmtinGSE,SC00002,Bill Process,VBill,ForPrdFrom,Per senderaccount Monthly,TT,1,15,False,"Computes 1 components from VBill data source, settling Per senderaccount Monthly and feeds 9 downstream classes."
ReversalTDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,14,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 14 field conditions."
ReversalProvisionExpAcc,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,8,13,False,"Aggregates and allocates 8 components from Bill_I data source, settling Per ItemID Monthly and feeds 5 downstream classes. Performs arithmetic transformations across 13 field conditions."
ReversalProvision,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,7,14,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 14 field conditions."
ProvisionReversalAccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 1 downstream classes."
ExpAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,13,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 13 field conditions."
GSTAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,11,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 11 field conditions."
ExpAccBill_I_GST,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,15,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions."
TDSAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per SectionName Monthly,TT,11,15,False,"Aggregates and allocates 11 components from Bill_I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions."
ExpAccBill_I_TDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,6,14,False,"Aggregates and allocates 6 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 14 field conditions."
RoundOffAcc,SC00002,Bill Process,Bill_I,documentdate,Per InterimID Monthly,TT,3,8,False,"Looks up and fetches 3 components from Bill_I data source, settling Per InterimID Monthly. Performs arithmetic transformations across 8 field conditions."
CrAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Documentnumber Monthly,TT,10,13,False,"Aggregates and allocates 10 components from Bill_I data source, settling Per Documentnumber Monthly. Performs arithmetic transformations across 13 field conditions."
AccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 6 downstream classes."
ProvisionReversalCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,4,9,False,"Aggregates and allocates 4 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 9 field conditions."
BillCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,7,10,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 10 field conditions."
AmortizeBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Itemid Monthly,TT,12,13,False,"Aggregates and allocates 12 components from Bill_I data source, settling Per Itemid Monthly. Performs arithmetic transformations across 13 field conditions."
PO&IPVsBill,SC00002,Bill Process,PO&IPVsBillRep,Date,Per Source Monthly,TT,36,2,False,"Aggregates 36 components from PO&IPVsBillRep data source, settling Per Source Monthly. Performs arithmetic transformations across 2 field conditions."
ErrorDetection,SC00002,Bill Process,Bill_I,documentdate,Per documentnumber Monthly,TT,7,9,False,"Aggregates 7 components from Bill_I data source, settling Per documentnumber Monthly. Performs arithmetic transformations across 9 field conditions."
BillHead,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,7,17,False,"Aggregates 7 components from Bill_H data source, settling Per interimid Monthly. Performs arithmetic transformations across 17 field conditions."
PO_ItemCalculation,SC00004,PO Validation,PO_I,ForPrdFrom,Per lineid Monthly,TT,13,21,False,"Computes 13 components from PO_I data source, settling Per lineid Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 21 field conditions."
CostAllocationMaster,SC00004,PO Validation,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions."
POCostAllocation1,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,1,5,False,"Looks up and fetches 1 components from PO_I data source, settling Per LOB Monthly and feeds 4 downstream classes."
TCostAllocationValue,SC00004,PO Validation,PO_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from PO_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes."
POCostAllocation,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,5,6,False,"Aggregates and allocates 5 components from PO_I data source, settling Per LOB Monthly. Performs arithmetic transformations across 6 field conditions."
AP,SC00004,PO Validation,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions."
POWF,SC00004,PO Validation,PO_I,DocumentDate,Per LOB Monthly,TT,1,3,False,"Computes 1 components from PO_I data source, settling Per LOB Monthly."
IM,SC00026,Cost_Provision_BasedOnGRN&SRN,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes."
VM,SC00026,Cost_Provision_BasedOnGRN&SRN,VM,ForPrdFrom,Per memberid Monthly,TT,1,12,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes."
G&SRN_BT3H,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per SenderAccount Monthly,TT,1,23,False,"Computes 1 components from G&SRNBT3H data source, settling Per SenderAccount Monthly and feeds 3 downstream classes."
BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,3,21,False,"Computes 3 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 15 downstream classes. Performs arithmetic transformations across 21 field conditions."
G&SRN_BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,13,21,False,"Aggregates 13 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 8 downstream classes. Performs arithmetic transformations across 21 field conditions."
CostAllocationMaster,SC00026,Cost_Provision_BasedOnGRN&SRN,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions."
G&SRNCostAllocation1,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,1,9,False,"Looks up and fetches 1 components from G&SRNBT3I data source, settling Per LOB Monthly and feeds 4 downstream classes."
TCostAllocationValue,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,6,False,"Aggregates 3 components from G&SRNBT3I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes."
AD,SC00026,Cost_Provision_BasedOnGRN&SRN,AD,ForPrdFrom,Per accountcode Monthly,TT,3,11,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions."
ExpAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,7,19,False,"Aggregates 7 components from G&SRNBT3I data source, settling Per ItemID Monthly and feeds 6 downstream classes. Performs arithmetic transformations across 19 field conditions."
TDSAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per SectionName Monthly,TT,9,19,False,"Aggregates 9 components from G&SRNBT3I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 19 field conditions."
Provision,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Aggregates 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions."
GRIRAc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Looks up and fetches 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions."
CostProvisionJournal,SC00026,Cost_Provision_BasedOnGRN&SRN,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling ."
G&SRNCostAllocation,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,7,13,False,"Aggregates and allocates 7 components from G&SRNBT3I data source, settling Per LOB Monthly. Performs arithmetic transformations across 13 field conditions."
AP,SC00026,Cost_Provision_BasedOnGRN&SRN,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,15,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions."
G&SRNWF,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per senderaccount Monthly,TT,1,12,False,"Computes 1 components from G&SRNBT3H data source, settling Per senderaccount Monthly."
