id,document,component_name,schema_name
PrevBill_TaxPercentage_10,"Schema Name: PrevBill
        Component Name: TaxPercentage
        Component Type: MATH
        Business Purpose: This row defines a component named 'TaxPercentage' in the 'PrevBill' schema, which calculates the tax percentage based on the 'COST' component type.
        Technical Logic: The 'TaxPercentage' component is a mathematical calculation (MATH) that retrieves its value from the 'COST' component type, and is used as a criteria in the model with a count of 1.",TaxPercentage,PrevBill
PrevBill_Basevalue_11,"Schema Name: PrevBill
        Component Name: Basevalue
        Component Type: MATH
        Business Purpose: This row defines a component in the PrevBill schema that calculates the base value of a bill based on the COST component type.
        Technical Logic: The component_expr 'Basevalue' references the component itself, indicating a self-referential calculation. The component_type 'MATH' and value 'COST' suggest a mathematical operation involving cost data, likely used to derive the base value of a bill.",Basevalue,PrevBill
PrevBill_TaxValue_12,"Schema Name: PrevBill
        Component Name: TaxValue
        Component Type: MATH
        Business Purpose: This row defines a component named 'TaxValue' in the 'PrevBill' schema, which calculates the cost of a bill based on a mathematical model.
        Technical Logic: The 'TaxValue' component is a mathematical model (MATH) that evaluates to the 'COST' value, using the expression 'TaxValue' and is used in 1 criteria.",TaxValue,PrevBill
PrevBill_DocumentValue_13,"Schema Name: PrevBill
        Component Name: DocumentValue
        Component Type: MATH
        Business Purpose: This row defines a component in the 'PrevBill' schema that calculates the 'COST' value based on the 'DocumentValue' model, used for mathematical calculations.
        Technical Logic: The 'DocumentValue' component is a mathematical component of type 'MATH' that uses the 'COST' value from the 'DocumentValue' model, with a criteria count of 1, to perform calculations.",DocumentValue,PrevBill
PO&IP_Status_AwaitingApprovalQty_14,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalQty
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row represents a component in the PO&IP_Status schema that calculates the sum of awaiting approval quantities from the PrevBill model, specifically for items with a status of 'Waiting For Approval'.
        Technical Logic: The component_expr field uses a JSON object to filter items based on their status, and the component_type is set to SUMFROMSCHEMA to calculate the sum of the COST value for matching items.",AwaitingApprovalQty,PO&IP_Status
PO&IP_Status_ActiveQty_15,"Schema Name: PO&IP_Status
        Component Name: ActiveQty
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of active items from the 'PrevBill' model in the 'PO&IP_Status' schema, and stores the result in the 'ActiveQty' component.
        Technical Logic: The 'SUMFROMSCHEMA' component type with 'COST' value is used to aggregate data from the 'PrevBill' model in the 'PO&IP_Status' schema. The component expression filters the data to include only items with a 'status' of 'Active'. The result is then stored in the 'ActiveQty' component.",ActiveQty,PO&IP_Status
PO&IP_Status_ActualQty_16,"Schema Name: PO&IP_Status
        Component Name: ActualQty
        Component Type: MATH
        Business Purpose: This row represents a calculation component in the PO&IP_Status schema, specifically calculating the ActualQty by subtracting ActiveQty and AwaitingApprovalQty from Qty.
        Technical Logic: The component_expr 'Qty-(ActiveQty + AwaitingApprovalQty)' is evaluated as a mathematical expression, where 'Qty', 'ActiveQty', and 'AwaitingApprovalQty' are likely columns in the underlying data model, and the result is stored as the ActualQty value.",ActualQty,PO&IP_Status
PO&IP_Status_Rate_17,"Schema Name: PO&IP_Status
        Component Name: Rate
        Component Type: MATH
        Business Purpose: This row defines a 'Rate' component within the 'PO&IP_Status' schema, which is used to calculate the cost of a mathematical model 'MATH'.
        Technical Logic: The 'Rate' component is a mathematical function of type 'COST' that is evaluated using the expression 'Rate'. It is used once in the criteria count, indicating its singular application within the model.",Rate,PO&IP_Status
PO&IP_Status_AwaitingApprovalAddlCharge_18,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalAddlCharge
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row represents a component in the PO&IP_Status schema that calculates the sum of costs for 'AwaitingApprovalAddlCharge' in the PrevBill model, filtered by items with a status of 'Waiting For Approval'.
        Technical Logic: The component_expr field uses a JSON object to specify a filter criteria, where 'ItemID' and 'LinkRef' are used to identify relevant data, and the 'status' object applies an equality check to the 'status' field, only including records with a value of 'Waiting For Approval'. The component_type is set to 'SUMFROMSCHEMA', indicating that the component will sum the 'COST' value from the schema.",AwaitingApprovalAddlCharge,PO&IP_Status
PO&IP_Status_ActiveAddlCharge_19,"Schema Name: PO&IP_Status
        Component Name: ActiveAddlCharge
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row defines a component in the PO&IP_Status schema that calculates the sum of costs for 'ActiveAddlCharge' in the PrevBill model, filtered by the status being 'Active'.
        Technical Logic: The component_expr uses a JSON object to specify a filter criteria, where 'ItemID' and 'LinkRef' are used to link the data, and the 'status' object is used to filter the data based on the 'equality' operator 'EQ' with the value 'Active'.",ActiveAddlCharge,PO&IP_Status
PO&IP_Status_ActualAddlCharge_20,"Schema Name: PO&IP_Status
        Component Name: ActualAddlCharge
        Component Type: MATH
        Business Purpose: This row calculates the 'ActualAddlCharge' by subtracting the sum of 'AwaitingApprovalAddlCharge' and 'ActiveAddlCharge' from 'AddlCharge', providing a cost-based value for the 'PO&IP_Status' schema.
        Technical Logic: The component_expr 'AddlCharge-(AwaitingApprovalAddlCharge + ActiveAddlCharge)' is evaluated as a mathematical expression, where 'AddlCharge' is subtracted by the sum of 'AwaitingApprovalAddlCharge' and 'ActiveAddlCharge', resulting in a component_type_value of 'COST' for the 'MATH' model.",ActualAddlCharge,PO&IP_Status
PO&IP_Status_AwaitingApprovalDiscountAmt_21,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalDiscountAmt
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of items awaiting approval for a previous bill, based on the document number.
        Technical Logic: The component_expr uses a JSON object to filter items by status, which is then used to calculate the sum of costs from the PO&IP_Status schema.",AwaitingApprovalDiscountAmt,PO&IP_Status
PO&IP_Status_ActiveDiscountAmt_22,"Schema Name: PO&IP_Status
        Component Name: ActiveDiscountAmt
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row defines a component named ActiveDiscountAmt in the PO&IP_Status schema, which calculates the sum of the COST from the PrevBill model, filtered by items with an 'Active' status.
        Technical Logic: The component_expr JSON object is used to filter items based on their status, where the equality operator (EQ) is used to match the 'status' field with the value 'Active'. The component_type is set to SUMFROMSCHEMA, indicating that the component will sum up the COST values from the PrevBill model.",ActiveDiscountAmt,PO&IP_Status
PO&IP_Status_ActualDiscountAmt_23,"Schema Name: PO&IP_Status
        Component Name: ActualDiscountAmt
        Component Type: MATH
        Business Purpose: This row calculates the ActualDiscountAmt for the PO&IP_Status model by subtracting the sum of AwaitingApprovalDiscountAmt and ActiveDiscountAmt from the Discount amount.
        Technical Logic: The component_expr 'Discount-(AwaitingApprovalDiscountAmt + ActiveDiscountAmt)' is evaluated to calculate the ActualDiscountAmt, where the model_id 'MATH' indicates that a mathematical operation is performed.",ActualDiscountAmt,PO&IP_Status
PO&IP_Status_Basevalue_24,"Schema Name: PO&IP_Status
        Component Name: Basevalue
        Component Type: MATH
        Business Purpose: This row defines a base value component in the PO&IP_Status schema, used to calculate the cost of a mathematical model.
        Technical Logic: The component_expr 'Basevalue' references the component itself, indicating a self-referential calculation. The component_type 'MATH' and type_value 'COST' specify the mathematical operation and its purpose, respectively.",Basevalue,PO&IP_Status
PO&IP_Status_AwaitingApprovalBaseValue_25,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalBaseValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row represents a component in a PO&IP_Status model, specifically 'AwaitingApprovalBaseValue', which calculates the sum of 'COST' from the 'PrevBill' schema, filtered by items with a 'documentnumber' status of 'Waiting For Approval'.
        Technical Logic: The component_expr JSON field is evaluated to filter items, and the component_type 'SUMFROMSCHEMA' is used to calculate the sum of 'COST' from the 'PrevBill' schema, based on the filtered items.",AwaitingApprovalBaseValue,PO&IP_Status
PO&IP_Status_ActiveBaseValue_26,"Schema Name: PO&IP_Status
        Component Name: ActiveBaseValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row represents a component in the PO&IP_Status schema that calculates the sum of costs from the PrevBill model, specifically for items with an 'Active' status.
        Technical Logic: The component_expr field uses a JSON object to filter items based on their status, which is then used to calculate the sum of costs from the PrevBill model, utilizing the SUMFROMSCHEMA component type.",ActiveBaseValue,PO&IP_Status
PO&IP_Status_ActualBaseValue_27,"Schema Name: PO&IP_Status
        Component Name: ActualBaseValue
        Component Type: MATH
        Business Purpose: This row calculates the ActualBaseValue for the PO&IP_Status schema by subtracting the sum of AwaitingApprovalBaseValue and ActiveBaseValue from the BaseValue.
        Technical Logic: The ActualBaseValue is computed using a mathematical expression: BaseValue - (AwaitingApprovalBaseValue + ActiveBaseValue). This operation is performed on the MATH model with a component type of MATH and a value of COST.",ActualBaseValue,PO&IP_Status
PO&IP_Status_AwaitingApprovalTaxValue_28,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalTaxValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row defines a component that calculates the sum of 'COST' from the 'PrevBill' model in the 'PO&IP_Status' schema, specifically for items with a status of 'Waiting For Approval'.
        Technical Logic: The component uses a SUMFROMSCHEMA operation to aggregate 'COST' values from the 'PrevBill' model, filtered by a JSON-based criteria expression that checks the 'status' field for equality with 'Waiting For Approval'.",AwaitingApprovalTaxValue,PO&IP_Status
PO&IP_Status_ActiveTaxValue_29,"Schema Name: PO&IP_Status
        Component Name: ActiveTaxValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row defines a component in the 'PO&IP_Status' schema that calculates the sum of 'COST' from the 'PrevBill' model, filtered by items with an 'Active' status.
        Technical Logic: The component uses a SUMFROMSCHEMA operation, which aggregates 'COST' values from the 'PrevBill' model. The aggregation is filtered by a JSON-based criteria expression that checks for an 'ItemID' match and a 'documentnumber' link reference, with an additional status filter that requires an 'Active' status.",ActiveTaxValue,PO&IP_Status
PO&IP_Status_ActualTaxValue_30,"Schema Name: PO&IP_Status
        Component Name: ActualTaxValue
        Component Type: MATH
        Business Purpose: This row calculates the ActualTaxValue by subtracting the sum of AwaitingApprovalTaxValue and ActiveTaxValue from TaxValue, and is used in the PO&IP_Status schema.
        Technical Logic: The ActualTaxValue is computed using a mathematical expression: TaxValue - (AwaitingApprovalTaxValue + ActiveTaxValue), where TaxValue is the base value, and the sum of AwaitingApprovalTaxValue and ActiveTaxValue is subtracted from it.",ActualTaxValue,PO&IP_Status
PO&IP_Status_AwaitingApprovalDocumentValue_31,"Schema Name: PO&IP_Status
        Component Name: AwaitingApprovalDocumentValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of documents awaiting approval for the previous bill in the PO&IP_Status schema.
        Technical Logic: The component_expr JSON object filters documents with a status of 'Waiting For Approval' and sums their costs, which is then stored in the 'AwaitingApprovalDocumentValue' component of the 'PrevBill' model.",AwaitingApprovalDocumentValue,PO&IP_Status
PO&IP_Status_ActiveDocumentValue_32,"Schema Name: PO&IP_Status
        Component Name: ActiveDocumentValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of active documents for the previous bill in the PO&IP_Status schema.
        Technical Logic: The component_expr uses a JSON object to filter documents by status, then the SUMFROMSCHEMA component_type aggregates the COST component_type_value from the filtered documents.",ActiveDocumentValue,PO&IP_Status
PO&IP_Status_ActualDocumentValue_33,"Schema Name: PO&IP_Status
        Component Name: ActualDocumentValue
        Component Type: MATH
        Business Purpose: This row calculates the ActualDocumentValue by subtracting the sum of AwaitingApprovalDocumentValue and ActiveDocumentValue from DocumentValue, which is used in the PO&IP_Status schema.
        Technical Logic: The component_expr 'DocumentValue-(AwaitingApprovalDocumentValue + ActiveDocumentValue)' is evaluated to calculate the ActualDocumentValue, where DocumentValue is the base value, AwaitingApprovalDocumentValue and ActiveDocumentValue are added together and then subtracted from DocumentValue.",ActualDocumentValue,PO&IP_Status
PO&IP_Status_amountinlocalcurrency_34,"Schema Name: PO&IP_Status
        Component Name: amountinlocalcurrency
        Component Type: MATH
        Business Purpose: This row represents a component in the PO&IP_Status schema that calculates the amount in local currency, specifically for the MATH model, using a mathematical operation to determine the cost.
        Technical Logic: The component_expr 'amountinlocalcurrency' is used to calculate the cost, which is a mathematical operation, and it has a criteria_count of 1, indicating a single condition is applied to determine the cost.",amountinlocalcurrency,PO&IP_Status
PO&IP_Status_TaxPercentage_35,"Schema Name: PO&IP_Status
        Component Name: TaxPercentage
        Component Type: MATH
        Business Purpose: This row defines a TaxPercentage component within the PO&IP_Status schema, used to calculate cost-based tax percentages.
        Technical Logic: The TaxPercentage component is a mathematical function (MATH) that evaluates to a COST value, based on the expression 'TaxPercentage', and is used in a decision-making process that involves 1 criteria.",TaxPercentage,PO&IP_Status
Bill_Item_headaddlcharge_36,"Schema Name: Bill_Item
        Component Name: headaddlcharge
        Component Type: SUMFROMSCHEMA
        Business Purpose: Unknown purpose
        Technical Logic: Unknown logic",headaddlcharge,Bill_Item
Bill_Item_TotalQty_37,"Schema Name: Bill_Item
        Component Name: TotalQty
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of items in a bill by summing the cost of each item.
        Technical Logic: The component 'TotalQty' uses the 'SUMFROMSCHEMA' component type to sum the 'COST' value from the 'Bill_Item' schema, with a criteria count of 1, and stores the result in the 'interimid' intermediate variable.",TotalQty,Bill_Item
Bill_Item_ExchangeRate_38,"Schema Name: Bill_Item
        Component Name: ExchangeRate
        Component Type: FETCHFROMSCHEMA
        Business Purpose: This row fetches the exchange rate for a bill item from the 'COST' schema, using the document number as a criteria.
        Technical Logic: The 'FETCHFROMSCHEMA' component retrieves data from the 'COST' schema based on the 'documentnumber' criteria, which is passed as a JSON expression.",ExchangeRate,Bill_Item
Bill_Item_Qty_39,"Schema Name: Bill_Item
        Component Name: Qty
        Component Type: MATH
        Business Purpose: This row defines a Bill_Item component named 'Qty' that calculates the cost based on mathematical operations, specifically 'COST' for the 'MATH' model.
        Technical Logic: The 'Qty' component uses a mathematical operation (MATH) with a value of 'COST' to perform calculations, and it has a single criteria associated with it.",Qty,Bill_Item
Bill_Item_Rate_40,"Schema Name: Bill_Item
        Component Name: Rate
        Component Type: MATH
        Business Purpose: This row defines a 'Rate' component within the 'Bill_Item' schema, which is used to calculate the cost of an item.
        Technical Logic: The 'Rate' component is a mathematical function (MATH) that takes a single criteria (criteria_count = 1) and returns a value based on the 'COST' component type value, with the expression 'Rate' being used to calculate the rate.",Rate,Bill_Item
Bill_Item_AddlCharge_41,"Schema Name: Bill_Item
        Component Name: AddlCharge
        Component Type: MATH
        Business Purpose: This row represents a component in the 'Bill_Item' schema that calculates an additional charge based on the 'COST' value, using the 'MATH' model.
        Technical Logic: The 'AddlCharge' component is a mathematical operation that retrieves the 'COST' value from the 'MATH' model, and applies it to the 'Bill_Item' schema, with a criteria count of 1.",AddlCharge,Bill_Item
Bill_Item_AddlCharge1_42,"Schema Name: Bill_Item
        Component Name: AddlCharge1
        Component Type: MATH
        Business Purpose: This row represents a component in the 'Bill_Item' schema that calculates an additional charge based on the quantity and head additional charge, with the result being a cost.
        Technical Logic: The component 'AddlCharge1' uses a mathematical expression to calculate the additional charge, where the quantity is multiplied by the head additional charge and then divided by the total quantity, resulting in a cost value.",AddlCharge1,Bill_Item
Bill_Item_DiscountAmt_43,"Schema Name: Bill_Item
        Component Name: DiscountAmt
        Component Type: MATH
        Business Purpose: This row defines a discount amount calculation for the Bill_Item model, specifically applying a discount to the cost.
        Technical Logic: The DiscountAmt component uses a MATH component type with a value of COST, referencing the 'Discount' expression, and is applied to the Bill_Item model with a single criteria.",DiscountAmt,Bill_Item
Bill_Item_TaxPercentage_44,"Schema Name: Bill_Item
        Component Name: TaxPercentage
        Component Type: MATH
        Business Purpose: This row defines a tax percentage calculation for the 'Bill_Item' schema, specifically for the 'TaxPercentage' component, which is based on the 'COST' value and uses a mathematical operation.
        Technical Logic: The 'TaxPercentage' component is a mathematical operation (component_type: 'MATH') that takes the 'COST' value as input (component_type_value: 'COST') and applies a tax percentage calculation, with a single criteria (criteria_count: 1) defined by the 'TaxPercentage' expression.",TaxPercentage,Bill_Item
Bill_Item_Basevalue_45,"Schema Name: Bill_Item
        Component Name: Basevalue
        Component Type: MATH
        Business Purpose: This row defines a base value component for the 'Bill_Item' schema, which calculates the cost of an item based on mathematical operations.
        Technical Logic: The 'Basevalue' component, of type 'MATH' with value 'COST', uses the expression 'Basevalue' to calculate its value, and is used in 1 criteria.",Basevalue,Bill_Item
Bill_Item_BillBasevalue_46,"Schema Name: Bill_Item
        Component Name: BillBasevalue
        Component Type: MATH
        Business Purpose: This row calculates the total bill value by adding base value, additional charges, and subtracting discount amount, then multiplying by the exchange rate.
        Technical Logic: The component_expr '(Basevalue+AddlCharge+AddlCharge1-DiscountAmt)*ExchangeRate' is evaluated as a mathematical expression, where 'Basevalue', 'AddlCharge', 'AddlCharge1', 'DiscountAmt', and 'ExchangeRate' are likely other components or values in the system, and the result is used as the value for the 'BillBasevalue' component in the 'Bill_Item' schema.",BillBasevalue,Bill_Item
Bill_Item_POorIPActualBaseValue_47,"Schema Name: Bill_Item
        Component Name: POorIPActualBaseValue
        Component Type: SUMFROMSCHEMA
        Business Purpose: This row calculates the total cost of items in the Bill_Item schema, specifically for PO&IP_Status model, by summing the cost from the schema.
        Technical Logic: The component_expr uses a JSON object to link the document number and item ID from the current document to the ItemID in the schema, then sums the COST value from the schema for each matching item.",POorIPActualBaseValue,Bill_Item
Bill_Item_RefBasevalue_48,"Schema Name: Bill_Item
        Component Name: RefBasevalue
        Component Type: ROWWISE-MINVALUE
        Business Purpose: This row identifies the minimum cost value for the Bill_Item schema, using the RefBasevalue component, and applies a criteria count of 1.
        Technical Logic: The ROWWISE-MINVALUE component type with value 'COST' is used to find the minimum cost value in the Bill_Item schema, based on the expression 'BillBasevalue <> POorIPActualBaseValue'.",RefBasevalue,Bill_Item
Bill_Item_TaxValue_49,"Schema Name: Bill_Item
        Component Name: TaxValue
        Component Type: MATH
        Business Purpose: This row defines a component named 'TaxValue' in the 'Bill_Item' schema, which calculates the tax value based on the cost, and it is used as a criteria once.
        Technical Logic: The 'TaxValue' component is a mathematical calculation (component_type: MATH) that uses the 'COST' value as its input (component_type_value: COST), and its expression is simply 'TaxValue' which implies it's a self-referential calculation. It is used as a criteria once in the model.",TaxValue,Bill_Item
Bill_Item_DocumentValue_50,"Schema Name: Bill_Item
        Component Name: DocumentValue
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the cost of a document, based on the 'DocumentValue' component.
        Technical Logic: The 'DocumentValue' component is used to calculate the cost of a document, with a criteria count of 1, indicating a single calculation is performed. The component type is 'MATH' with a value of 'COST', suggesting a mathematical operation is applied to determine the cost.",DocumentValue,Bill_Item
Bill_Item_AmountinLocalCurrency_51,"Schema Name: Bill_Item
        Component Name: AmountinLocalCurrency
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the amount in local currency based on the base value and exchange rate.
        Technical Logic: The 'AmountinLocalCurrency' component uses a mathematical operation (MATH) to calculate the result by multiplying the 'Basevalue' with the 'ExchangeRate', and it is used as a criteria in the model.",AmountinLocalCurrency,Bill_Item
Bill_Item_AmountinTransactionCurrency_52,"Schema Name: Bill_Item
        Component Name: AmountinTransactionCurrency
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the 'Amount in Transaction Currency' based on the 'Base value' and is used as a criteria in the 'MATH' model.
        Technical Logic: The 'Amount in Transaction Currency' component is a mathematical calculation (component_type: MATH) that uses the 'COST' component_type_value to determine the base value for the calculation, which is then used as a criteria in the 'MATH' model with a count of 1.",AmountinTransactionCurrency,Bill_Item
Bill_Item_AccountBaseValue_53,"Schema Name: Bill_Item
        Component Name: AccountBaseValue
        Component Type: ACCOUNTING-VALUE
        Business Purpose: This row represents a component in the 'Bill_Item' schema that calculates the cost of an account, with a criteria count of 1.
        Technical Logic: The 'AccountBaseValue' component, of type 'ACCOUNTING-VALUE' and value 'COST', is likely used to extract the base cost value from an account, with no model ID or expression provided.",AccountBaseValue,Bill_Item
Bill_Item_NAccBaseValue_54,"Schema Name: Bill_Item
        Component Name: NAccBaseValue
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the 'COST' of the 'AccountBaseValue' with a negative multiplier of 1, used as a criteria in a mathematical model.
        Technical Logic: The component_expr '-1*AccountBaseValue' is evaluated to calculate the 'COST' of the 'AccountBaseValue' by applying a negative multiplier of 1, which is then used as a criteria in the 'MATH' model.",NAccBaseValue,Bill_Item
Bill_Item_PAccBaseValue_55,"Schema Name: Bill_Item
        Component Name: PAccBaseValue
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the 'COST' of the 'AccountBaseValue' for the 'MATH' model, used as a criteria in a decision-making process.
        Technical Logic: The 'PAccBaseValue' component is a mathematical calculation that retrieves the 'COST' value from the 'AccountBaseValue' expression for the 'MATH' model, utilizing a single criteria.",PAccBaseValue,Bill_Item
Bill_Item_SignWAccBaseValue_56,"Schema Name: Bill_Item
        Component Name: SignWAccBaseValue
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the total cost of a bill item by summing the 'PAccBaseValue' and 'NAccBaseValue' values.
        Technical Logic: The 'SignWAccBaseValue' component is a mathematical operation that adds the 'PAccBaseValue' and 'NAccBaseValue' values, with a component type of 'MATH' and a value of 'COST'. It is used in a model with an ID of 'MATH' and has a single criteria.",SignWAccBaseValue,Bill_Item
Bill_Item_PercentageofTDS_57,"Schema Name: Bill_Item
        Component Name: PercentageofTDS
        Component Type: MATH
        Business Purpose: This row defines a component in the 'Bill_Item' schema that calculates the percentage of TDS (Tax Deducted at Source) in the 'MATH' model, specifically for the 'COST' component.
        Technical Logic: The 'PercentageofTDS' component is a mathematical calculation that retrieves the 'COST' component from the 'MATH' model and applies a percentage-based formula to determine the TDS percentage, with a criteria count of 1.",PercentageofTDS,Bill_Item
Bill_Item_cgstvalue_58,"Schema Name: Bill_Item
        Component Name: cgstvalue
        Component Type: MATH
        Business Purpose: This row defines a calculation for the CGST value in the Bill_Item schema, specifically for the 'MATH' model, where the CGST value is directly used as the component expression.
        Technical Logic: The backend operation involves retrieving the CGST value from the 'cgstvalue' component, which is of type 'MATH' and has a value of 'COST', and then applying it as a criteria in the Bill_Item schema for the 'MATH' model.",cgstvalue,Bill_Item
Bill_Item_sgstvalue_59,"Schema Name: Bill_Item
        Component Name: sgstvalue
        Component Type: MATH
        Business Purpose: This row defines a component named 'sgstvalue' in the 'Bill_Item' schema, which calculates the cost-based sales tax value.
        Technical Logic: The 'sgstvalue' component is a mathematical calculation (component_type='MATH') that retrieves its value from the 'sgstvalue' expression, and is used as a criteria in the 'Bill_Item' model (model_id='MATH').",sgstvalue,Bill_Item
Bill_Item_igstvalue_60,"Schema Name: Bill_Item
        Component Name: igstvalue
        Component Type: MATH
        Business Purpose: This row defines a component 'igstvalue' in the 'Bill_Item' schema, which calculates the cost-based IGST value.
        Technical Logic: The component 'igstvalue' is a mathematical calculation (component_type: MATH) with a value of 'COST' (component_type_value), based on the expression 'igstvalue' (component_expr). It is used in 1 criteria.",igstvalue,Bill_Item
