schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary,purpose,technical_logic
BillWF,SC00002,Bill Process,Bill_I,DocumentDate,Per LOB Monthly,TT,1,7,False,"Computes 1 components from Bill_I data source, settling Per LOB Monthly.",Error generating text,Error generating text
AD,SC00002,Bill Process,AD,ForPrdFrom,Per accountcode Monthly,TT,3,10,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions.","This component, part of the 'Bill Process' group, computes 6 components from the 'AD' data source. It settles transactions per account code on a monthly basis and feeds 69 downstream classes, performing arithmetic transformations across 21 field conditions.","The component named 'AD' processes data from 'source_schema' 'SC00002' using 'AD' as its primary data source. It aggregates data based on 'ForPrdFrom' for date processing and performs settlements 'Per accountcode Monthly'. The process applies 10 field conditions and generates 3 distinct components, identified by an 'output_process_code' of 'TT'."
IM,SC00002,Bill Process,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes.","This component is part of the 'Bill Process' group, responsible for calculating and settling items on a monthly basis, ensuring accurate financial processing for each item ID.","Operating on data from the 'IM' source, this component retrieves information from 'SC00002', aggregating based on the 'ForPrdFrom' date. It applies 13 distinct conditions to compute 2 components for 'Per itemid Monthly' settlement, with an output process code of 'TT'."
VM,SC00002,Bill Process,VM,ForPrdFrom,Per memberid Monthly,TT,1,15,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes.","The component 'VM', part of the 'Bill Process' group, is designed to calculate and settle financial components for individual members on a monthly basis.","This component processes data originating from the 'VM' data source (SC00002). It aggregates data based on the 'ForPrdFrom' date, computes 2 distinct components using 15 underlying conditions, and settles these 'Per memberid Monthly'. The output, identified by process code 'TT', is then distributed to 13 downstream classes, without utilizing the 'has_getgroupfromschema2' mechanism."
ProcessedTDSAmtinGSE,SC00002,Bill Process,VBill,ForPrdFrom,Per senderaccount Monthly,TT,1,15,False,"Computes 1 components from VBill data source, settling Per senderaccount Monthly and feeds 9 downstream classes.",Error generating text,Error generating text
ReversalTDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,14,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 14 field conditions.",Error generating text,Error generating text
ReversalProvisionExpAcc,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,8,13,False,"Aggregates and allocates 8 components from Bill_I data source, settling Per ItemID Monthly and feeds 5 downstream classes. Performs arithmetic transformations across 13 field conditions.",Error generating text,Error generating text
ReversalProvision,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,7,14,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 14 field conditions.",Error generating text,Error generating text
ProvisionReversalAccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 1 downstream classes.",Error generating text,Error generating text
ExpAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,13,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 13 field conditions.",Error generating text,Error generating text
GSTAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,11,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 11 field conditions.",Error generating text,Error generating text
ExpAccBill_I_GST,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,15,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions.",Error generating text,Error generating text
TDSAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per SectionName Monthly,TT,11,15,False,"Aggregates and allocates 11 components from Bill_I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions.",Error generating text,Error generating text
ExpAccBill_I_TDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,6,14,False,"Aggregates and allocates 6 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 14 field conditions.",Error generating text,Error generating text
RoundOffAcc,SC00002,Bill Process,Bill_I,documentdate,Per InterimID Monthly,TT,3,8,False,"Looks up and fetches 3 components from Bill_I data source, settling Per InterimID Monthly. Performs arithmetic transformations across 8 field conditions.",Error generating text,Error generating text
CrAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Documentnumber Monthly,TT,10,13,False,"Aggregates and allocates 10 components from Bill_I data source, settling Per Documentnumber Monthly. Performs arithmetic transformations across 13 field conditions.","This component, part of the 'Bill Process' group, is designed to aggregate and allocate billing information for credit accounts, specifically for monthly settlement based on document numbers.","Operating as 'CrAccBill_I', this component processes data from the 'Bill_I' data source, aggregating it based on 'ForPrdFrom'. It handles 10 components, applying 13 field conditions that include arithmetic transformations. Settlement logic is applied 'Per Documentnumber Monthly', and the output is generated with process code 'TT'. It does not utilize the 'getgroupfromschema2' mechanism for grouping."
AccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 6 downstream classes.","This component, 'AccountingJournal', serves as a key part of the 'Bill Process', tasked with consolidating and preparing financial data for subsequent accounting or reporting stages by feeding it to downstream systems.","The 'AccountingJournal' component operates by processing data from the '#consolidate#' data source. It applies one specific condition (condition_count=1) and, rather than computing new components, it focuses on preparing and feeding its processed output to 6 downstream classes, indicating a role in data preparation and distribution."
ProvisionReversalCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,4,9,False,"Aggregates and allocates 4 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 9 field conditions.","To manage and allocate costs associated with provision reversals within the billing process. It aggregates and settles specific cost components on a monthly, per Line of Business basis.","This process aggregates 4 components from the 'Bill_I' data source, performing date-based aggregation using 'ForPrdFrom'. It applies 9 field conditions, likely involving arithmetic transformations, to allocate costs. The output is settled 'Per LOB Monthly' and delivered via output process code 'TT'."
BillCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,7,10,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 10 field conditions.",Error generating text,Error generating text
AmortizeBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Itemid Monthly,TT,12,13,False,"Aggregates and allocates 12 components from Bill_I data source, settling Per Itemid Monthly. Performs arithmetic transformations across 13 field conditions.",Error generating text,Error generating text
PO&IPVsBill,SC00002,Bill Process,PO&IPVsBillRep,Date,Per Source Monthly,TT,36,2,False,"Aggregates 36 components from PO&IPVsBillRep data source, settling Per Source Monthly. Performs arithmetic transformations across 2 field conditions.",Error generating text,Error generating text
ErrorDetection,SC00002,Bill Process,Bill_I,documentdate,Per documentnumber Monthly,TT,7,9,False,"Aggregates 7 components from Bill_I data source, settling Per documentnumber Monthly. Performs arithmetic transformations across 9 field conditions.",Error generating text,Error generating text
BillHead,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,7,17,False,"Aggregates 7 components from Bill_H data source, settling Per interimid Monthly. Performs arithmetic transformations across 17 field conditions.",Error generating text,Error generating text
PO_ItemCalculation,SC00004,PO Validation,PO_I,ForPrdFrom,Per lineid Monthly,TT,13,21,False,"Computes 13 components from PO_I data source, settling Per lineid Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 21 field conditions.",Error generating text,Error generating text
CostAllocationMaster,SC00004,PO Validation,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",Error generating text,Error generating text
POCostAllocation1,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,1,5,False,"Looks up and fetches 1 components from PO_I data source, settling Per LOB Monthly and feeds 4 downstream classes.",Error generating text,Error generating text
TCostAllocationValue,SC00004,PO Validation,PO_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from PO_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.",Error generating text,Error generating text
POCostAllocation,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,5,6,False,"Aggregates and allocates 5 components from PO_I data source, settling Per LOB Monthly. Performs arithmetic transformations across 6 field conditions.",Error generating text,Error generating text
AP,SC00004,PO Validation,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",Error generating text,Error generating text
POWF,SC00004,PO Validation,PO_I,DocumentDate,Per LOB Monthly,TT,1,3,False,"Computes 1 components from PO_I data source, settling Per LOB Monthly.",Error generating text,Error generating text
IM,SC00026,Cost_Provision_BasedOnGRN&SRN,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes.",Error generating text,Error generating text
VM,SC00026,Cost_Provision_BasedOnGRN&SRN,VM,ForPrdFrom,Per memberid Monthly,TT,1,12,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes.",Error generating text,Error generating text
G&SRN_BT3H,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per SenderAccount Monthly,TT,1,23,False,"Computes 1 components from G&SRNBT3H data source, settling Per SenderAccount Monthly and feeds 3 downstream classes.",Error generating text,Error generating text
BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,3,21,False,"Computes 3 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 15 downstream classes. Performs arithmetic transformations across 21 field conditions.",Error generating text,Error generating text
G&SRN_BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,13,21,False,"Aggregates 13 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 8 downstream classes. Performs arithmetic transformations across 21 field conditions.",Error generating text,Error generating text
CostAllocationMaster,SC00026,Cost_Provision_BasedOnGRN&SRN,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",Error generating text,Error generating text
G&SRNCostAllocation1,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,1,9,False,"Looks up and fetches 1 components from G&SRNBT3I data source, settling Per LOB Monthly and feeds 4 downstream classes.",Error generating text,Error generating text
TCostAllocationValue,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,6,False,"Aggregates 3 components from G&SRNBT3I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.",Error generating text,Error generating text
AD,SC00026,Cost_Provision_BasedOnGRN&SRN,AD,ForPrdFrom,Per accountcode Monthly,TT,3,11,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions.",Error generating text,Error generating text
ExpAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,7,19,False,"Aggregates 7 components from G&SRNBT3I data source, settling Per ItemID Monthly and feeds 6 downstream classes. Performs arithmetic transformations across 19 field conditions.",Error generating text,Error generating text
TDSAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per SectionName Monthly,TT,9,19,False,"Aggregates 9 components from G&SRNBT3I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 19 field conditions.",Error generating text,Error generating text
Provision,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Aggregates 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions.",Error generating text,Error generating text
GRIRAc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Looks up and fetches 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions.",Error generating text,Error generating text
CostProvisionJournal,SC00026,Cost_Provision_BasedOnGRN&SRN,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling .",Error generating text,Error generating text
G&SRNCostAllocation,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,7,13,False,"Aggregates and allocates 7 components from G&SRNBT3I data source, settling Per LOB Monthly. Performs arithmetic transformations across 13 field conditions.",Error generating text,Error generating text
AP,SC00026,Cost_Provision_BasedOnGRN&SRN,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,15,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",Error generating text,Error generating text
G&SRNWF,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per senderaccount Monthly,TT,1,12,False,"Computes 1 components from G&SRNBT3H data source, settling Per senderaccount Monthly.",Error generating text,Error generating text
