schema_name,source_schema,schema_group_name,data_source,date_aggregation_on,settlement_type,output_process_code,component_count,condition_count,has_getgroupfromschema2,nl_summary,purpose,technical_logic
BillWF,SC00002,Bill Process,Bill_I,DocumentDate,Per LOB Monthly,TT,1,7,False,"Computes 1 components from Bill_I data source, settling Per LOB Monthly.",This component computes and settles bill data on a per line of business monthly basis.,"This component aggregates data from the Bill_I data source based on the DocumentDate, with a component count of 1 and 7 conditions, and outputs the result with a process code of TT."
AD,SC00002,Bill Process,AD,ForPrdFrom,Per accountcode Monthly,TT,3,10,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions.","This component computes 6 components from the 'AD' data source, settling transactions per account code on a monthly basis and feeding 69 downstream classes.","The component processes data from 'SC00002' using 'AD' as its primary data source, aggregating data based on 'ForPrdFrom' for date processing and performing settlements 'Per accountcode Monthly'."
IM,SC00002,Bill Process,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes.",Calculating and settling items on a monthly basis for accurate financial processing.,"Operating on 'IM' source data from 'SC00002', it aggregates based on 'ForPrdFrom' date and applies 13 conditions to compute 2 components for 'Per itemid Monthly' settlement with 'TT' output process code."
VM,SC00002,Bill Process,VM,ForPrdFrom,Per memberid Monthly,TT,1,15,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes.",The component 'VM' calculates and settles financial components for individual members on a monthly basis.,"This component aggregates data based on the 'ForPrdFrom' date, computes 2 distinct components using 15 underlying conditions, and settles these 'Per memberid Monthly'."
ProcessedTDSAmtinGSE,SC00002,Bill Process,VBill,ForPrdFrom,Per senderaccount Monthly,TT,1,15,False,"Computes 1 components from VBill data source, settling Per senderaccount Monthly and feeds 9 downstream classes.",This component computes and settles data from the VBill data source on a monthly basis for each sender account.,"This component aggregates data on 'ForPrdFrom' and settles 'Per senderaccount Monthly' from the 'VBill' data source, with 1 component and 15 conditions."
ReversalTDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,14,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 14 field conditions.",This component aggregates and allocates 5 components from the Bill_I data source for Per ItemID Monthly settlement.,"This component performs arithmetic transformations across 14 field conditions, aggregating data on 'ForPrdFrom' and feeding 1 downstream class."
ReversalProvisionExpAcc,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,8,13,False,"Aggregates and allocates 8 components from Bill_I data source, settling Per ItemID Monthly and feeds 5 downstream classes. Performs arithmetic transformations across 13 field conditions.","This component aggregates and allocates 8 components from the Bill_I data source, settling Per ItemID Monthly.","This component performs arithmetic transformations across 13 field conditions, feeding 5 downstream classes."
ReversalProvision,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,7,14,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 14 field conditions.","This component aggregates and allocates 7 components from the Bill_I data source, settling on a Per ItemID Monthly basis.","This component performs arithmetic transformations across 14 field conditions, aggregating data on a ForPrdFrom date aggregation basis."
ProvisionReversalAccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 1 downstream classes.",This component is used to handle error generation in the Bill Process.,"It computes 0 components from the #consolidate# data source, settles, and feeds 1 downstream class."
ExpAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,5,13,False,"Aggregates and allocates 5 components from Bill_I data source, settling Per ItemID Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 13 field conditions.","This component aggregates and allocates 5 components from the Bill_I data source, settling Per ItemID Monthly.","This component performs arithmetic transformations across 13 field conditions, aggregating data on 'ForPrdFrom' and feeding 1 downstream class."
GSTAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,11,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 11 field conditions.",This component aggregates and allocates data from the Bill_I data source for settlement on a Per ItemID Monthly basis.,"This component performs arithmetic transformations across 11 field conditions, aggregating and allocating 9 components from the Bill_I data source, and feeds 2 downstream classes."
ExpAccBill_I_GST,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,9,15,False,"Aggregates and allocates 9 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions.",This component aggregates and allocates 9 components from the Bill_I data source for Per ItemID Monthly settlement.,"This component performs arithmetic transformations across 15 field conditions, aggregating data on 'ForPrdFrom' and feeding 2 downstream classes."
TDSAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per SectionName Monthly,TT,11,15,False,"Aggregates and allocates 11 components from Bill_I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 15 field conditions.",This component aggregates and allocates 11 components from the Bill_I data source for Per SectionName Monthly settlement.,"This component performs arithmetic transformations across 15 field conditions, aggregating data from the Bill_I data source and settling on a Per SectionName Monthly basis."
ExpAccBill_I_TDS,SC00002,Bill Process,Bill_I,ForPrdFrom,Per ItemID Monthly,TT,6,14,False,"Aggregates and allocates 6 components from Bill_I data source, settling Per ItemID Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 14 field conditions.",This component aggregates and allocates 6 components from the Bill_I data source for Per ItemID Monthly settlement.,"This component performs arithmetic transformations across 14 field conditions, aggregating data on 'ForPrdFrom' and feeding 2 downstream classes."
RoundOffAcc,SC00002,Bill Process,Bill_I,documentdate,Per InterimID Monthly,TT,3,8,False,"Looks up and fetches 3 components from Bill_I data source, settling Per InterimID Monthly. Performs arithmetic transformations across 8 field conditions.",This component is used to generate error text.,"It looks up and fetches 3 components from the Bill_I data source, settling on a Per InterimID Monthly basis, and performs arithmetic transformations across 8 field conditions."
CrAccBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Documentnumber Monthly,TT,10,13,False,"Aggregates and allocates 10 components from Bill_I data source, settling Per Documentnumber Monthly. Performs arithmetic transformations across 13 field conditions.","This component aggregates and allocates billing information for credit accounts, settling monthly based on document numbers.","This component processes data from 'Bill_I', aggregating it based on 'ForPrdFrom', handling 10 components and 13 field conditions with arithmetic transformations, settling 'Per Documentnumber Monthly' with process code 'TT'."
AccountingJournal,SC00002,Bill Process,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling  and feeds 6 downstream classes.","This component serves as a key part of the 'Bill Process', tasked with consolidating and preparing financial data for subsequent accounting or reporting stages.","The 'AccountingJournal' component operates by processing data from the '#consolidate#' data source, applying one specific condition, and feeding its processed output to 6 downstream classes."
ProvisionReversalCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,4,9,False,"Aggregates and allocates 4 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 9 field conditions.",To manage and allocate costs associated with provision reversals within the billing process.,"This process aggregates 4 components from the 'Bill_I' data source, performing date-based aggregation using 'ForPrdFrom'. It applies 9 field conditions, likely involving arithmetic transformations, to allocate costs. The output is settled 'Per LOB Monthly' and delivered via output process code 'TT'."
BillCostAllocation,SC00002,Bill Process,Bill_I,ForPrdFrom,Per LOB Monthly,TT,7,10,False,"Aggregates and allocates 7 components from Bill_I data source, settling Per LOB Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 10 field conditions.",This component aggregates and allocates 7 components from the Bill_I data source for Per LOB Monthly settlement.,"This component performs arithmetic transformations across 10 field conditions, aggregating data from the Bill_I data source and settling on a Per LOB Monthly basis."
AmortizeBill_I,SC00002,Bill Process,Bill_I,ForPrdFrom,Per Itemid Monthly,TT,12,13,False,"Aggregates and allocates 12 components from Bill_I data source, settling Per Itemid Monthly. Performs arithmetic transformations across 13 field conditions.","This component aggregates and allocates 12 components from the Bill_I data source, settling on a Per Itemid Monthly basis.","This component performs arithmetic transformations across 13 field conditions, aggregating data from the Bill_I data source and settling on a Per Itemid Monthly basis."
PO&IPVsBill,SC00002,Bill Process,PO&IPVsBillRep,Date,Per Source Monthly,TT,36,2,False,"Aggregates 36 components from PO&IPVsBillRep data source, settling Per Source Monthly. Performs arithmetic transformations across 2 field conditions.",This component aggregates data from the PO&IPVsBillRep data source to generate a monthly bill.,"The component performs arithmetic transformations on 36 components from the PO&IPVsBillRep data source, settling per source monthly, with 2 field conditions."
ErrorDetection,SC00002,Bill Process,Bill_I,documentdate,Per documentnumber Monthly,TT,7,9,False,"Aggregates 7 components from Bill_I data source, settling Per documentnumber Monthly. Performs arithmetic transformations across 9 field conditions.",Error detection for bill process.,"This component aggregates 7 components from the Bill_I data source, settling per document number monthly, and performs arithmetic transformations across 9 field conditions."
BillHead,SC00002,Bill Process,Bill_H,documentdate,Per interimid Monthly,TT,7,17,False,"Aggregates 7 components from Bill_H data source, settling Per interimid Monthly. Performs arithmetic transformations across 17 field conditions.",This component aggregates data from the Bill_H data source to generate error-free text.,"The component aggregates 7 components from the Bill_H data source, settling on a Per interimid Monthly basis, and performs arithmetic transformations across 17 field conditions."
PO_ItemCalculation,SC00004,PO Validation,PO_I,ForPrdFrom,Per lineid Monthly,TT,13,21,False,"Computes 13 components from PO_I data source, settling Per lineid Monthly and feeds 1 downstream classes. Performs arithmetic transformations across 21 field conditions.",This component calculates and validates PO item data.,"It aggregates data from the PO_I source on a per lineid monthly basis, computing 13 components and performing 21 field conditions through arithmetic transformations."
CostAllocationMaster,SC00004,PO Validation,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",This component is used to generate error text.,"This component operates by aggregating data on a 'ForPrdFrom' date, sourced from 'CA', and settles on a 'Per LOB Monthly' basis, performing arithmetic transformations across 24 field conditions."
POCostAllocation1,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,1,5,False,"Looks up and fetches 1 components from PO_I data source, settling Per LOB Monthly and feeds 4 downstream classes.",This component is used to generate error text.,"It looks up and fetches 1 component from the PO_I data source, settling Per LOB Monthly, and feeds 4 downstream classes."
TCostAllocationValue,SC00004,PO Validation,PO_I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,3,False,"Aggregates 3 components from PO_I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.","This component aggregates data from PO_I data source to settle costs per month, as per the cost allocation method.","This component aggregates 3 components from the PO_I data source, settling costs per month based on the cost allocation method, and feeds 3 downstream classes."
POCostAllocation,SC00004,PO Validation,PO_I,ForPrdFrom,Per LOB Monthly,TT,5,6,False,"Aggregates and allocates 5 components from PO_I data source, settling Per LOB Monthly. Performs arithmetic transformations across 6 field conditions.","This component aggregates and allocates 5 components from the PO_I data source, settling on a Per LOB Monthly basis.","This component performs arithmetic transformations across 6 field conditions, aggregating and allocating data from the PO_I data source based on the ForPrdFrom date aggregation and Per LOB Monthly settlement type."
AP,SC00004,PO Validation,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,14,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",This component is used to generate error text for the AP schema.,"This component computes 3 components from the AP data source, settles Per StrategyName Monthly, and feeds 20 downstream classes, performing arithmetic transformations across 43 field conditions."
POWF,SC00004,PO Validation,PO_I,DocumentDate,Per LOB Monthly,TT,1,3,False,"Computes 1 components from PO_I data source, settling Per LOB Monthly.",This component is used to generate error text.,"It computes components from the PO_I data source, settling on a Per LOB Monthly basis."
IM,SC00026,Cost_Provision_BasedOnGRN&SRN,IM,ForPrdFrom,Per itemid Monthly,TT,1,13,False,"Computes 2 components from IM data source, settling Per itemid Monthly and feeds 22 downstream classes.",This component is used to generate error text.,"The component operates by aggregating data on a 'ForPrdFrom' date, sourced from the 'IM' data source, and settles on a 'Per itemid Monthly' basis, with a component count of 1 and 13 conditions."
VM,SC00026,Cost_Provision_BasedOnGRN&SRN,VM,ForPrdFrom,Per memberid Monthly,TT,1,12,False,"Computes 2 components from VM data source, settling Per memberid Monthly and feeds 13 downstream classes.",This component is used to generate error-free text.,"It aggregates data on a 'ForPrdFrom' date basis from the 'VM' data source, which is part of the 'Cost_Provision_BasedOnGRN&SRN' schema group, and settles it per memberid monthly."
G&SRN_BT3H,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per SenderAccount Monthly,TT,1,23,False,"Computes 1 components from G&SRNBT3H data source, settling Per SenderAccount Monthly and feeds 3 downstream classes.",This component is responsible for generating error text.,"The component aggregates data on the 'Accountingdate' and settles on a 'Per SenderAccount Monthly' basis, utilizing data from the 'G&SRNBT3H' source schema, with 1 component and 23 conditions."
BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,3,21,False,"Computes 3 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 15 downstream classes. Performs arithmetic transformations across 21 field conditions.",This component is responsible for error generation.,"It operates by aggregating data on a 'ForPrdFrom' date, utilizing a 'G&SRNBT3I' data source, and performing arithmetic transformations across 21 field conditions."
G&SRN_BT3I,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per itemdescription Monthly,TT,13,21,False,"Aggregates 13 components from G&SRNBT3I data source, settling Per itemdescription Monthly and feeds 8 downstream classes. Performs arithmetic transformations across 21 field conditions.","This component aggregates data from the G&SRNBT3I data source to provide a cost provision based on GRN&SRN, settling on a per item description monthly basis.","The component performs arithmetic transformations across 21 field conditions, aggregating 13 components from the G&SRNBT3I data source, and feeds 8 downstream classes."
CostAllocationMaster,SC00026,Cost_Provision_BasedOnGRN&SRN,CA,ForPrdFrom,Per LOB Monthly,TT,3,8,False,"Computes 10 components from CA data source, settling Per LOB Monthly and feeds 19 downstream classes. Performs arithmetic transformations across 24 field conditions.",This component is responsible for cost allocation based on GRN and SRN.,"It computes 10 components from the CA data source, settling Per LOB Monthly, and feeds 19 downstream classes, performing arithmetic transformations across 24 field conditions."
G&SRNCostAllocation1,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,1,9,False,"Looks up and fetches 1 components from G&SRNBT3I data source, settling Per LOB Monthly and feeds 4 downstream classes.",This component is used to generate error text.,"It looks up and fetches 1 component from the G&SRNBT3I data source, settling on a Per LOB Monthly basis and feeding 4 downstream classes."
TCostAllocationValue,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per CostAllocationMethod Monthly,TT,1,6,False,"Aggregates 3 components from G&SRNBT3I data source, settling Per CostAllocationMethod Monthly and feeds 3 downstream classes.",This component aggregates data from G&SRNBT3I to provide a cost allocation value on a monthly basis.,"The component aggregates data from G&SRNBT3I, settling on a per cost allocation method monthly basis, and feeds into 3 downstream classes."
AD,SC00026,Cost_Provision_BasedOnGRN&SRN,AD,ForPrdFrom,Per accountcode Monthly,TT,3,11,False,"Computes 6 components from AD data source, settling Per accountcode Monthly and feeds 69 downstream classes. Performs arithmetic transformations across 21 field conditions.",This component is used to generate error-free text.,"It aggregates data on a 'ForPrdFrom' date basis from the 'AD' data source, processes 3 components with 11 conditions, and settles on a 'Per accountcode Monthly' basis."
ExpAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,7,19,False,"Aggregates 7 components from G&SRNBT3I data source, settling Per ItemID Monthly and feeds 6 downstream classes. Performs arithmetic transformations across 19 field conditions.","This component aggregates data from the G&SRNBT3I data source to provide a cost provision based on GRN&SRN, settling on a per item ID monthly basis.","The component performs arithmetic transformations across 19 field conditions, aggregating 7 components from the G&SRNBT3I data source, and feeds 6 downstream classes."
TDSAcc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per SectionName Monthly,TT,9,19,False,"Aggregates 9 components from G&SRNBT3I data source, settling Per SectionName Monthly and feeds 2 downstream classes. Performs arithmetic transformations across 19 field conditions.",This component aggregates data from the G&SRNBT3I data source to provide a monthly settlement for each section name.,"The component performs arithmetic transformations across 19 field conditions, aggregating data from 9 components and settling on a per-section-name monthly basis."
Provision,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Aggregates 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions.",This component aggregates data from G&SRNBT3I to provide a monthly settlement per item ID.,"The component aggregates 8 components from the G&SRNBT3I data source, performing arithmetic transformations across 18 field conditions, and settles per item ID monthly."
GRIRAc,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per ItemID Monthly,TT,8,18,False,"Looks up and fetches 8 components from G&SRNBT3I data source, settling Per ItemID Monthly. Performs arithmetic transformations across 18 field conditions.",This component is used to generate error text.,"This component fetches data from the G&SRNBT3I data source, performs arithmetic transformations across 18 field conditions, and settles Per ItemID Monthly."
CostProvisionJournal,SC00026,Cost_Provision_BasedOnGRN&SRN,#consolidate#,,,,0,1,False,"Computes 0 components from #consolidate# data source, settling .","This component is used to compute cost provisions based on GRN and SRN, consolidating data from the specified source.","The component aggregates data from the '#consolidate#' data source, computes 0 components, and settles based on the provided logic, with a condition count of 1."
G&SRNCostAllocation,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3I,ForPrdFrom,Per LOB Monthly,TT,7,13,False,"Aggregates and allocates 7 components from G&SRNBT3I data source, settling Per LOB Monthly. Performs arithmetic transformations across 13 field conditions.",This component aggregates and allocates data from the G&SRNBT3I data source for Per LOB Monthly settlement.,"This component performs arithmetic transformations across 13 field conditions, aggregating and allocating data from the G&SRNBT3I data source based on the ForPrdFrom date aggregation."
AP,SC00026,Cost_Provision_BasedOnGRN&SRN,AP,ForPrdFrom,Per StrategyName Monthly,TT,1,15,False,"Computes 3 components from AP data source, settling Per StrategyName Monthly and feeds 20 downstream classes. Performs arithmetic transformations across 43 field conditions.",This component is used to generate error-free text.,"It operates by aggregating data on a 'ForPrdFrom' date, settling 'Per StrategyName Monthly' and performing arithmetic transformations across 43 field conditions."
G&SRNWF,SC00026,Cost_Provision_BasedOnGRN&SRN,G&SRNBT3H,Accountingdate,Per senderaccount Monthly,TT,1,12,False,"Computes 1 components from G&SRNBT3H data source, settling Per senderaccount Monthly.",This component is used to generate error text.,"This component aggregates data from the G&SRNBT3H data source on the Accountingdate, settling per sender account monthly, and computes 1 component."
